Created,Caller Postcode,Noise type
10/06/2017 01:46,LS9 7,MUSIC
10/06/2017 01:41,LS6 1,MUSIC
10/06/2017 01:32,LS15 7,MUSIC
10/06/2017 01:20,LS26 0,SHOUTING
10/06/2017 00:59,LS6 1,MUSIC
10/06/2017 00:48,LS9 6,MUSIC
10/06/2017 00:24,LS11 7,MUSIC
10/06/2017 00:15,LS1 4,BUILDING SITE
10/06/2017 00:09,LS6 1,MUSIC
09/06/2017 23:40,LS26 0,MUSIC
09/06/2017 23:23,LS14 6,MUSIC
09/06/2017 23:16,LS9 7,BANGING ON WALLS/CEILING/FLOOR
09/06/2017 23:10,LS6 2,MUSIC
09/06/2017 23:00,LS14 1,PARTY
09/06/2017 22:47,LS17 6,MUSIC
09/06/2017 22:42,LS6 2,MUSIC
09/06/2017 22:32,LS6 2,MUSIC
09/06/2017 22:30,LS13 1,MUSIC
09/06/2017 22:20,LS8 5,MUSIC
09/06/2017 21:57,LS6 1,MUSIC
09/06/2017 21:52,LS8 3,MUSIC
09/06/2017 21:48,LS11 5,MUSIC
09/06/2017 21:42,LS8 5,MUSIC
09/06/2017 21:11,LS7 1,MUSIC
09/06/2017 20:49,LS25 3,MUSIC
09/06/2017 20:41,LS9 6,MUSIC
09/06/2017 20:41,LS16 6,BANGING ON WALLS/CEILING/FLOOR
09/06/2017 20:24,LS14 1,MUSIC
09/06/2017 19:38,LS7 1,MUSIC
09/06/2017 18:57,LS8 5,MUSIC
09/06/2017 18:19,LS6 3,MUSIC
09/06/2017 18:19,LS8 1,MUSIC
09/06/2017 03:26,LS8 1,MUSIC
09/06/2017 02:44,LS27 9,SHOUTING
09/06/2017 01:18,LS8 5,SHOUTING
09/06/2017 01:14,LS8 5,MUSIC
09/06/2017 00:27,LS6 1,MUSIC
09/06/2017 00:09,LS4 2,MUSIC
08/06/2017 23:57,LS6 3,MUSIC
08/06/2017 23:48,LS11 0,MUSIC
08/06/2017 22:42,LS6 1,PARTY
08/06/2017 22:10,LS6 1,MUSIC
08/06/2017 21:50,LS11 6,SHOUTING
08/06/2017 21:45,LS26 8,SHOUTING
08/06/2017 21:34,LS8 5,MUSIC
08/06/2017 20:32,LS9 9,MUSIC
08/06/2017 07:20,LS11 0,MUSIC
08/06/2017 06:48,LS9 9,SHOUTING
08/06/2017 02:56,LS6 4,MUSIC
08/06/2017 02:31,LS6 1,MUSIC
08/06/2017 02:22,LS6 1,MUSIC
08/06/2017 01:46,LS14 1,SHOUTING
08/06/2017 01:08,LS6 1,MUSIC
